date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter]
2018-05-25 00:00:00 +0000;3;14.3320130109787;2.0;0;0
2018-05-25 01:00:00 +0000;2;20.0843420028687;2.0;0;0
2018-05-25 02:00:00 +0000;3;22.9558738470078;2.0;0;0
2018-05-25 03:00:00 +0000;3;0.0;2.0;0;0
2018-05-25 04:00:00 +0000;3;0.0;2.0;0;0
2018-05-25 05:00:00 +0000;2;16.8926621675491;1.0;0;0
2018-05-25 07:00:00 +0000;1;16.255432844162;0.0;0;0
2018-05-25 08:00:00 +0000;2;12.7509754896164;1.0;0;0
2018-05-25 09:00:00 +0000;5;0.0;3.0;0;0
2018-05-25 10:00:00 +0000;19;51.9525272846222;13.0;1;0
2018-05-25 11:00:00 +0000;7;100.106305360794;5.0;0;0
2018-05-25 12:00:00 +0000;32;47.0777540206909;23.0;1;0
2018-05-25 13:00:00 +0000;19;29.966282248497;13.0;1;0
2018-05-25 14:00:00 +0000;11;17.8536036014557;7.0;0;0
2018-05-25 15:00:00 +0000;1208;841.628724694252;758.0;38;1
2018-05-25 16:00:00 +0000;1175;1021.79010033607;733.0;36;2
2018-05-25 17:00:00 +0000;177;12.7535803318024;103.0;5;3
2018-05-25 18:00:00 +0000;3;27.7353117465973;1.0;0;0
2018-05-25 19:00:00 +0000;2;20.4656703472137;1.0;0;0
2018-05-25 20:00:00 +0000;8;31.8150074481964;5.0;0;0
2018-05-25 21:00:00 +0000;2;25.4938477277756;1.0;0;0
2018-05-25 22:00:00 +0000;2;0.0;1.0;0;0
2018-05-25 23:00:00 +0000;2;0.0;1.0;0;0
2018-05-26 00:00:00 +0000;2;0.0;1.0;0;0
2018-05-26 01:00:00 +0000;2;0.0;1.0;0;0
2018-05-26 02:00:00 +0000;2;0.0;1.0;0;0
2018-05-26 03:00:00 +0000;2;0.0;1.0;0;0
2018-05-26 04:00:00 +0000;2;0.0;1.0;0;0
2018-05-26 05:00:00 +0000;2;47.809574842453;1.0;0;0
2018-05-26 06:00:00 +0000;13;38.2565257549286;8.0;0;0
2018-05-26 07:00:00 +0000;16;17.8485662937164;11.0;1;0
2018-05-26 08:00:00 +0000;2254;1369.19861364365;1754.0;87;1
2018-05-26 09:00:00 +0000;1411;1365.93407142162;1055.0;52;1
2018-05-26 10:00:00 +0000;1809;1194.86646330357;1109.0;55;0
2018-05-26 11:00:00 +0000;1075;615.105707526207;683.0;34;6
2018-05-26 12:00:00 +0000;141;129.757935166359;108.0;5;0
2018-05-26 13:00:00 +0000;15;23.9051984548569;8.0;0;0
2018-05-26 14:00:00 +0000;8;45.9040597677231;5.0;0;0
2018-05-26 15:00:00 +0000;1425;1136.91284108162;951.0;47;6
2018-05-26 16:00:00 +0000;72;44.9495559930801;56.0;3;0
2018-05-26 17:00:00 +0000;695;497.341789960861;449.0;22;0
2018-05-26 18:00:00 +0000;2289;1863.47572767735;1450.0;72;0
2018-05-26 19:00:00 +0000;47;22.9561640024185;29.0;1;1
2018-05-26 20:00:00 +0000;47;21.3570005893707;29.0;1;0
2018-05-26 21:00:00 +0000;47;0.0;29.0;1;1
2018-05-26 22:00:00 +0000;47;0.0;29.0;1;0
2018-05-26 23:00:00 +0000;47;0.0;29.0;1;1
2018-05-27 00:00:00 +0000;47;0.0;29.0;1;0
2018-05-27 01:00:00 +0000;47;0.0;29.0;1;0
2018-05-27 02:00:00 +0000;47;0.0;29.0;1;1
2018-05-27 03:00:00 +0000;47;0.0;29.0;1;0
2018-05-27 04:00:00 +0000;47;2.55161488056183;29.0;1;1
2018-05-27 05:00:00 +0000;17;17.8519461154938;11.0;1;0
2018-05-27 06:00:00 +0000;114;143.147325158119;85.0;4;0
2018-05-27 07:00:00 +0000;5;30.6089051961899;4.0;0;0
2018-05-27 08:00:00 +0000;36;76.5163288116455;25.0;1;0
2018-05-27 09:00:00 +0000;20;78.7347739934921;13.0;1;0
2018-05-27 10:00:00 +0000;5;41.1383146047592;3.0;0;0
2018-05-27 11:00:00 +0000;2;30.609600186348;1.0;0;0
2018-05-27 12:00:00 +0000;38;16.2550256252289;27.0;1;0
2018-05-27 13:00:00 +0000;48;95.0018488168716;34.0;2;0
2018-05-27 14:00:00 +0000;2;27.7328715324402;1.0;0;0
2018-05-27 15:00:00 +0000;38;62.6610373258591;25.0;1;0
2018-05-27 16:00:00 +0000;43;122.587788462639;26.0;1;0
2018-05-27 18:00:00 +0000;175;177.92686188221;126.0;6;0
2018-05-27 19:00:00 +0000;1;40.8138467073441;0.0;0;0
2018-05-27 20:00:00 +0000;24;63.7630143165588;18.0;1;0
2018-05-28 06:00:00 +0000;12;62.8135257959366;8.0;0;0
2018-05-28 07:00:00 +0000;13;28.0544387102127;9.0;0;0
2018-05-28 09:00:00 +0000;816;642.645735383034;550.0;27;0
2018-05-28 10:00:00 +0000;2004;1589.22027015686;1448.0;72;5
2018-05-28 11:00:00 +0000;1;56.1005195379257;0.0;0;1
2018-05-28 12:00:00 +0000;22;108.406747817993;13.0;1;0
2018-05-28 13:00:00 +0000;1;20.4031656980515;0.0;0;0
2018-05-28 14:00:00 +0000;1;59.9389008283615;0.0;0;0
2018-05-28 15:00:00 +0000;16;23.2672475576401;12.0;1;0
2018-05-28 16:00:00 +0000;1;46.5514360666275;0.0;0;0
2018-05-29 08:00:00 +0000;709;494.17450773716;466.0;23;0
2018-05-29 09:00:00 +0000;305;507.271478295326;187.0;9;0
2018-05-29 10:00:00 +0000;2532;2141.81804168224;1681.0;83;0
2018-05-29 11:00:00 +0000;219;194.429065823555;151.0;7;4
2018-05-29 12:00:00 +0000;21;85.1410330533981;17.0;1;0
2018-05-29 13:00:00 +0000;22;23.907714009285;16.0;1;0
2018-05-29 14:00:00 +0000;1042;678.807340621948;684.0;34;6
2018-05-29 15:00:00 +0000;3202;2034.27169179916;2109.0;104;6
2018-05-29 16:00:00 +0000;1199;812.686134696007;754.0;37;6
2018-05-29 17:00:00 +0000;1406;884.122150301933;853.0;42;1
2018-05-29 18:00:00 +0000;1256;910.274528980255;846.0;42;4
2018-05-29 19:00:00 +0000;49;51.0120700597763;26.0;1;2
2018-05-29 20:00:00 +0000;26;34.4248290061951;15.0;1;0
2018-05-30 06:00:00 +0000;23;53.6582242250443;14.0;1;0
2018-05-30 08:00:00 +0000;106;79.4311742782593;68.0;3;0
2018-05-30 09:00:00 +0000;1920;1945.99388563633;1244.0;62;2
2018-05-30 10:00:00 +0000;911;1219.27553451061;615.0;30;6
2018-05-30 11:00:00 +0000;218;204.790800213814;147.0;7;5
2018-05-30 14:00:00 +0000;1632;1323.53592646122;1093.0;54;0
2018-05-30 15:00:00 +0000;4468;2816.02854883671;3061.0;152;10
2018-05-30 16:00:00 +0000;19;57.0766278505325;11.0;1;0
2018-05-30 18:00:00 +0000;591;507.788771748543;401.0;20;0
2018-05-30 19:00:00 +0000;486;429.585619807243;328.0;16;5
2018-05-30 20:00:00 +0000;38;100.437673330307;25.0;1;0
2018-05-31 05:00:00 +0000;28;115.734451889992;17.0;1;0
2018-05-31 06:00:00 +0000;16;108.098878264427;13.0;1;0
2018-05-31 07:00:00 +0000;33;71.4195231199265;26.0;1;0
2018-05-31 10:00:00 +0000;904;682.317602753639;666.0;33;5
2018-05-31 11:00:00 +0000;57;106.484353542328;38.0;2;0
2018-05-31 12:00:00 +0000;55;114.771788358688;38.0;2;0
2018-05-31 13:00:00 +0000;12;78.3855378627777;7.0;0;0
2018-05-31 14:00:00 +0000;9;21.1437820196152;6.0;0;0
2018-05-31 15:00:00 +0000;2;58.988722205162;1.0;0;0
2018-05-31 16:00:00 +0000;15;54.5299104452133;10.0;1;0
2018-05-31 18:00:00 +0000;1359;956.510090231895;865.0;43;5
2018-05-31 20:00:00 +0000;6;11.4709030389786;4.0;0;0
2018-06-01 01:00:00 +0000;11;10.2002651691437;8.0;0;0
2018-06-01 05:00:00 +0000;24;89.2532688379288;17.0;1;0
2018-06-01 06:00:00 +0000;11;91.1744222640991;8.0;0;0
2018-06-01 08:00:00 +0000;1326;1142.7199754715;839.0;42;1
2018-06-01 09:00:00 +0000;260;1353.89686989784;171.0;8;0
2018-06-01 10:00:00 +0000;1074;713.470148801804;774.0;38;5
2018-06-01 11:00:00 +0000;12;76.2179679870605;8.0;0;0
2018-06-01 12:00:00 +0000;1081;740.711487174034;688.0;34;1
2018-06-01 13:00:00 +0000;660;492.270044922829;411.0;20;0
2018-06-01 14:00:00 +0000;596;381.368775725365;442.0;22;5
2018-06-01 15:00:00 +0000;1441;870.77216565609;1037.0;51;7
2018-06-01 19:00:00 +0000;47;53.5727319717407;34.0;2;0
2018-06-02 05:00:00 +0000;8;92.4608891010284;5.0;0;0
2018-06-02 10:00:00 +0000;16;34.1006633043289;11.0;1;0
2018-06-02 11:00:00 +0000;41;91.7946949005127;31.0;2;0
2018-06-02 12:00:00 +0000;41;57.0760139226913;29.0;1;0
2018-06-02 13:00:00 +0000;47;131.338715314865;31.0;2;0
2018-06-02 14:00:00 +0000;9;48.1395623683929;4.0;0;0
2018-06-02 15:00:00 +0000;8;56.118411898613;3.0;0;0
2018-06-02 16:00:00 +0000;40;78.1194887161255;32.0;2;0
2018-06-02 17:00:00 +0000;1;28.0583699941635;0.0;0;0
2018-06-03 05:00:00 +0000;24;92.1453691720963;20.0;1;0
2018-06-03 06:00:00 +0000;894;636.089965462685;559.0;28;6
2018-06-03 09:00:00 +0000;22;61.2249947786331;16.0;1;0
2018-06-03 13:00:00 +0000;11;22.9528433084488;7.0;0;0
2018-06-03 14:00:00 +0000;10;55.801323890686;6.0;0;0
2018-06-03 15:00:00 +0000;28;37.6198433637619;20.0;1;0
2018-06-03 16:00:00 +0000;16;11.7923914194107;8.0;0;0
2018-06-03 18:00:00 +0000;2279;1536.6033064127;1489.0;74;1
2018-06-03 19:00:00 +0000;265;182.236119270325;152.0;8;5
2018-06-04 05:00:00 +0000;3;76.1008688211441;2.0;0;0
2018-06-04 07:00:00 +0000;11;20.4576640129089;8.0;0;0
2018-06-04 08:00:00 +0000;29;65.5015777349472;20.0;1;0
2018-06-04 09:00:00 +0000;21;85.5081714391708;11.0;1;0
2018-06-04 10:00:00 +0000;41;55.9167318344116;29.0;1;0
2018-06-04 11:00:00 +0000;24;48.5763211250305;18.0;1;0
2018-06-04 13:00:00 +0000;1062;713.621304988861;693.0;34;0
2018-06-04 14:00:00 +0000;650;459.451581716537;391.0;19;0
2018-06-04 15:00:00 +0000;266;295.081806659698;160.0;8;0
2018-06-04 16:00:00 +0000;1988;1478.33207094669;1283.0;64;9
2018-06-04 18:00:00 +0000;14;7.98320651054382;9.0;0;0
2018-06-05 00:00:00 +0000;16;31.0381299257278;11.0;1;0
2018-06-05 06:00:00 +0000;12;145.923897385597;8.0;0;0
2018-06-05 10:00:00 +0000;32;78.8399611711502;23.0;1;0
2018-06-05 11:00:00 +0000;36;127.673298120499;25.0;1;0
2018-06-05 12:00:00 +0000;58;57.6424264907837;32.0;2;0
2018-06-05 13:00:00 +0000;1424;856.886684536934;869.0;43;6
2018-06-05 15:00:00 +0000;9;29.112918138504;6.0;0;0
2018-06-05 16:00:00 +0000;24;51.2607394456863;17.0;1;0
2018-06-05 20:00:00 +0000;41;25.5333800315857;29.0;1;0
2018-06-06 05:00:00 +0000;16;118.165333747864;9.0;0;0
2018-06-06 06:00:00 +0000;441;297.668093204498;281.0;14;0
2018-06-06 07:00:00 +0000;458;345.173439741135;290.0;14;6
2018-06-06 09:00:00 +0000;26;23.3193082809448;16.0;1;0
2018-06-06 10:00:00 +0000;60;105.169013977051;42.0;2;0
2018-06-06 11:00:00 +0000;19;89.6713339090347;14.0;1;0
2018-06-06 12:00:00 +0000;16;46.0124516487122;12.0;1;0
2018-06-06 14:00:00 +0000;32;43.4217771291733;20.0;1;0
2018-06-06 15:00:00 +0000;11;31.6654745340347;10.0;1;0
2018-06-06 16:00:00 +0000;387;305.419761776924;256.0;13;5
2018-06-06 18:00:00 +0000;11;45.9501544237137;7.0;0;0
2018-06-07 04:00:00 +0000;8;16.9352689981461;5.0;0;0
2018-06-07 05:00:00 +0000;29;74.7450431585312;16.0;1;0
2018-06-07 06:00:00 +0000;325;258.542568564415;273.0;14;0
2018-06-07 07:00:00 +0000;256;204.674892306328;171.0;8;5
2018-06-07 09:00:00 +0000;720;531.601086139679;447.0;22;0
2018-06-07 10:00:00 +0000;3047;1923.09353196621;1984.0;98;10
2018-06-07 11:00:00 +0000;1233;902.988413214684;782.0;39;5
2018-06-07 12:00:00 +0000;260;307.619198083878;170.0;8;4
2018-06-07 15:00:00 +0000;1453;890.404485464096;924.0;46;5
2018-06-07 16:00:00 +0000;1294;903.339620828629;846.0;42;4
2018-06-07 17:00:00 +0000;16;43.4442176818848;7.0;0;0
2018-06-07 19:00:00 +0000;109;105.900031089783;78.0;4;0
2018-06-07 20:00:00 +0000;12;34.4950789213181;8.0;0;0
2018-06-08 04:00:00 +0000;50;84.4386860132217;37.0;2;0
2018-06-08 05:00:00 +0000;8;45.5848113298416;5.0;0;0
